dimension,average_objective,time
4,38.61,0.01337309301015921
5,76.45,0.04648206400452182
6,139.08,0.18166987400036305
7,175.68,1.3530593859904911
8,278.29,12.038883567001903
9,389.93,119.30732133000856
10,550.87,1310.581415964989
11,751.73,15743.606987528998
12,,
13,,
14,,
15,,
16,,
17,,
18,,
19,,
20,,
21,,
22,,
23,,
24,,
25,,
